target_id	length	eff_length	est_counts	tpm
mat_gene_0	1679	1580	24.1379	16.1992
mat_gene_1	1486	1387	48.4138	37.0121
mat_gene_2	2026	1927	45.4737	25.0224
mat_gene_3	1000	901	203.257	239.206
mat_gene_4	5852	5753	0	0
mat_gene_5	542	443	0	0
mat_gene_6	2782	2683	92.3168	36.4847
mat_gene_7	2368	2269	0	0
mat_gene_8	2446	2347	35.2727	15.9359
mat_gene_9	1534	1435	48.5091	35.8445
mat_gene_10	1179	1080	18.4643	18.1284
mat_gene_11	1841	1742	181.933	110.742
mat_gene_12	3398	3299	26.3939	8.48346
mat_gene_13	3138	3039	48.093	16.7804
mat_gene_14	4774	4675	20.3571	4.61728
mat_gene_15	2517	2418	9.375	4.11117
mat_gene_16	1725	1626	127.701	83.2769
mat_gene_17	1452	1353	0	0
mat_gene_18	907	808	20.0571	26.3214
mat_gene_19	1210	1111	1.5	1.43162
mat_gene_20	438	339	16.4062	51.3169
mat_gene_21	4042	3943	0	0
mat_gene_22	1897	1798	0	0
mat_gene_23	2470	2371	94.7865	42.3902
mat_gene_24	1621	1522	10.6667	7.4313
mat_gene_25	793	694	50.7857	77.5949
mat_gene_26	2502	2403	150	66.1894
mat_gene_27	2916	2817	0	0
mat_gene_28	1336	1237	45.3659	38.8875
mat_gene_29	3426	3327	0	0
mat_gene_30	836	737	46.4286	66.7988
mat_gene_31	2975	2876	166.803	61.4987
mat_gene_32	2131	2032	61.48	32.082
mat_gene_33	1261	1162	28.8	26.2807
mat_gene_34	1592	1493	14.0909	10.0076
mat_gene_35	1818	1719	67.5	41.6369
mat_gene_36	1798	1699	196.384	122.564
mat_gene_37	1430	1331	17.0435	13.5779
mat_gene_38	2544	2445	306.204	132.795
mat_gene_39	2485	2386	189.891	84.3889
mat_gene_40	2563	2464	60.3077	25.9527
mat_gene_41	813	714	74.0263	109.936
mat_gene_42	784	685	43.2857	67.0047
mat_gene_43	1057	958	14	15.4958
mat_gene_44	3514	3415	257.19	79.8574
mat_gene_45	2143	2044	51.2708	26.5975
mat_gene_46	1664	1565	58.8261	39.8572
mat_gene_47	1294	1195	0	0
mat_gene_48	3988	3889	0	0
mat_gene_49	714	615	34	58.6212
mat_gene_50	2344	2245	458.253	216.441
mat_gene_51	4574	4475	398.427	94.4075
mat_gene_52	1373	1274	119.103	99.1298
mat_gene_53	2353	2254	13.1429	6.18282
mat_gene_54	520	421	10	25.1866
mat_gene_55	3151	3052	0	0
mat_gene_56	3049	2950	72.5138	26.0645
mat_gene_57	2663	2564	131.077	54.2075
mat_gene_58	1513	1414	40	29.9959
mat_gene_59	2208	2109	0	0
mat_gene_60	1211	1112	31.92	30.4375
mat_gene_61	2304	2205	11.5	5.53019
mat_gene_62	1068	969	30.6842	33.577
mat_gene_63	1687	1588	0	0
mat_gene_64	2002	1903	36.1111	20.1212
mat_gene_65	2083	1984	91.3684	48.8321
mat_gene_66	801	702	89.0435	134.498
mat_gene_67	2357	2258	10.0625	4.72534
mat_gene_68	648	549	42.3846	81.8629
mat_gene_69	3718	3619	271.493	79.5465
mat_gene_70	1685	1586	15.5294	10.3825
mat_gene_71	2057	1958	93.2701	50.5104
mat_gene_72	3989	3890	421.693	114.947
mat_gene_73	2278	2179	26.1538	12.7271
mat_gene_74	1582	1483	10	7.15006
mat_gene_75	551	452	12.5714	29.4915
mat_gene_76	803	704	24.3478	36.6723
mat_gene_77	3154	3055	232.93	80.8471
mat_gene_78	1070	971	53.8571	58.8132
mat_gene_79	628	529	18.5769	37.2365
mat_gene_80	5644	5545	238.306	45.5706
mat_gene_81	1198	1099	66.2529	63.9231
mat_gene_82	3694	3595	21.6	6.37097
mat_gene_83	3266	3167	25.6	8.57122
mat_gene_84	1664	1565	10.6667	7.22712
mat_gene_85	1010	911	71.6792	83.4307
mat_gene_86	3788	3689	111.431	32.0292
mat_gene_87	1809	1710	54.2647	33.649
mat_gene_88	3093	2994	140.331	49.6997
mat_gene_89	1054	955	44.2909	49.177
mat_gene_90	3150	3051	44.5802	15.4936
mat_gene_91	2370	2271	0	0
mat_gene_92	1741	1642	108.564	70.1074
mat_gene_93	3596	3497	57.2405	17.3564
mat_gene_94	1607	1508	168.627	118.57
mat_gene_95	2123	2024	252.963	132.525
mat_gene_96	2373	2274	15.3333	7.14985
mat_gene_97	2090	1991	241.12	128.414
mat_gene_98	3361	3262	417.093	135.581
mat_gene_99	783	684	6.76471	10.4868
mat_gene_100	2728	2629	0	0
mat_gene_101	1843	1744	134.933	82.0396
mat_gene_102	1086	987	5	5.3716
mat_gene_103	976	877	22.1	26.7204
mat_gene_104	432	333	0	0
mat_gene_105	1090	991	6	6.4199
mat_gene_106	2118	2019	25.2	13.2347
mat_gene_107	1418	1319	135.887	109.24
mat_gene_108	4144	4045	143.741	37.6802
mat_gene_109	2724	2625	104.786	42.3276
mat_gene_110	759	660	21.25	34.1402
mat_gene_111	1297	1198	59.2105	52.4075
mat_gene_112	1437	1338	86	68.1543
mat_gene_113	1379	1280	49.2821	40.8253
mat_gene_114	1914	1815	74.5385	43.5467
mat_gene_115	1560	1461	0	0
mat_gene_116	1594	1495	42.9348	30.4522
mat_gene_117	1000	901	9.23077	10.8634
mat_gene_118	1301	1202	128.277	113.161
mat_gene_119	3051	2952	565.366	203.079
mat_gene_120	1262	1163	0	0
mat_gene_121	1511	1412	173.716	130.453
mat_gene_122	3199	3100	36.5385	12.498
mat_gene_123	3168	3069	96.1739	33.2285
mat_gene_124	2428	2329	6.4	2.91381
mat_gene_125	2626	2527	708.189	297.163
mat_gene_126	2045	1946	174.857	95.2778
mat_gene_127	1526	1427	40.2093	29.8781
mat_gene_128	1885	1786	9	5.34333
mat_gene_129	1657	1558	69.3382	47.1907
mat_gene_130	498	399	0	0
mat_gene_131	2738	2639	166.995	67.0987
mat_gene_132	1793	1694	67.8916	42.4965
mat_gene_133	2558	2459	110.5	47.6491
mat_gene_134	641	542	74.7723	146.282
mat_gene_135	703	604	31.4103	55.1424
mat_gene_136	2756	2657	185.429	74.0007
mat_gene_137	1698	1599	142.358	94.4026
mat_gene_138	1064	965	21	23.0751
mat_gene_139	1262	1163	0	0
mat_gene_140	911	812	174.541	227.926
mat_gene_141	2596	2497	55.04	23.3728
mat_gene_142	977	878	5.27778	6.37393
mat_gene_143	2587	2488	94.4167	40.2392
mat_gene_144	2987	2888	294.053	107.964
mat_gene_145	2294	2195	255.14	123.252
mat_gene_146	2588	2489	139.901	59.6003
mat_gene_147	2287	2188	31.5122	15.2715
mat_gene_148	1139	1040	41.1045	41.9089
mat_gene_149	803	704	43.2941	65.2089
mat_gene_150	1729	1630	155.58	101.208
mat_gene_151	1003	904	25.641	30.0759
mat_gene_152	937	838	18	22.7761
mat_gene_153	1625	1526	1	0.694859
mat_gene_154	1140	1041	0	0
mat_gene_155	2061	1962	50.1795	27.1193
mat_gene_156	1527	1428	42.4667	31.5334
mat_gene_157	3472	3373	142.845	44.9054
mat_gene_158	1628	1529	13.7143	9.51079
mat_gene_159	1057	958	37.7586	41.7928
mat_gene_160	2161	2062	0	0
mat_gene_161	1112	1013	5.46835	5.72398
mat_gene_162	864	765	64.5474	89.4681
mat_gene_163	1020	921	18.7692	21.6092
mat_gene_164	2169	2070	64.0845	32.8272
mat_gene_165	1252	1153	12.5	11.4956
mat_gene_166	963	864	27.8372	34.1635
mat_gene_167	1995	1896	303.547	169.761
mat_gene_168	2902	2803	0	0
mat_gene_169	2043	1944	140.612	76.6969
mat_gene_170	604	505	71.716	150.583
mat_gene_171	3251	3152	358.253	120.519
mat_gene_172	3124	3025	0	0
mat_gene_173	1965	1866	17.3333	9.84966
mat_gene_174	516	417	18.75	47.6778
mat_gene_175	1098	999	15.1875	16.1202
mat_gene_176	3389	3290	31.2667	10.0771
mat_gene_177	1258	1159	0	0
mat_gene_178	1207	1108	3.6	3.44519
mat_gene_179	2437	2338	11.2	5.07954
mat_gene_180	2498	2399	47.52	21.0038
mat_gene_181	1534	1435	71.3793	52.7438
mat_gene_182	1480	1381	188.166	144.477
mat_gene_183	2361	2262	232.974	109.211
mat_gene_184	2676	2577	0	0
mat_gene_185	2684	2585	14	5.74273
mat_gene_186	822	723	49.8909	73.1702
mat_gene_187	968	869	4.5	5.4909
mat_gene_188	3395	3296	89.8424	28.9031
mat_gene_189	1739	1640	29.25	18.9118
mat_gene_190	1166	1067	11.3333	11.2627
mat_gene_191	1634	1535	35.1351	24.2708
mat_gene_192	2516	2417	51.6129	22.6429
mat_gene_193	1251	1152	78.8321	72.5607
mat_gene_194	1716	1617	200.81	131.682
mat_gene_195	2211	2112	157.797	79.2238
mat_gene_196	1543	1444	57.169	41.9802
mat_gene_197	2130	2031	174.916	91.321
mat_gene_198	2965	2866	190.865	70.6157
mat_gene_199	773	674	0	0
mat_gene_200	3475	3376	826.32	259.536
mat_gene_201	878	779	101.418	138.048
mat_gene_202	1416	1317	322.123	259.35
mat_gene_203	1457	1358	62.1429	48.5224
mat_gene_204	2518	2419	115.302	50.5421
mat_gene_205	2731	2632	211.822	85.3367
mat_gene_206	709	610	12.25	21.294
mat_gene_207	1803	1704	67.0213	41.7056
mat_gene_208	906	807	21.6	28.3812
mat_gene_209	5118	5019	289.075	61.0722
mat_gene_210	1874	1775	169.202	101.078
mat_gene_211	2239	2140	259.603	128.631
mat_gene_212	1064	965	96	105.486
mat_gene_213	1899	1800	0	0
