target_id	length	eff_length	est_counts	tpm
mat_gene_0	3237	3138	217.293	71.3568
mat_gene_1	873	774	4.33333	5.76931
mat_gene_2	1479	1380	28.6	21.3565
mat_gene_3	2324	2225	15.3333	7.10149
mat_gene_4	1773	1674	59.7183	36.7617
mat_gene_5	2066	1967	29.4483	15.4276
mat_gene_6	2057	1958	405.364	213.341
mat_gene_7	2223	2124	28.16	13.6622
mat_gene_8	1186	1087	62.2182	58.9835
mat_gene_9	1212	1113	0	0
mat_gene_10	1481	1382	18	13.4217
mat_gene_11	2197	2098	93.75	46.0478
mat_gene_12	3549	3450	208.836	62.3776
mat_gene_13	1750	1651	44.3662	27.6916
mat_gene_14	3151	3052	315	106.358
mat_gene_15	1132	1033	23.1724	23.1161
mat_gene_16	2202	2103	20.625	10.1064
mat_gene_17	2963	2864	238.79	85.9184
mat_gene_18	1762	1663	0	0
mat_gene_19	2489	2390	50.1972	21.6434
mat_gene_20	2943	2844	0	0
mat_gene_21	1794	1695	316.301	192.298
mat_gene_22	2361	2262	227.49	103.637
mat_gene_23	1394	1295	14.6429	11.652
mat_gene_24	1458	1359	121.643	92.2381
mat_gene_25	1776	1677	26.5	16.2838
mat_gene_26	1561	1462	50.375	35.5067
mat_gene_27	4903	4804	47.5152	10.1923
mat_gene_28	895	796	53.7358	69.5655
mat_gene_29	672	573	39.973	71.8877
mat_gene_30	567	468	0	0
mat_gene_31	1892	1793	37	21.265
mat_gene_32	2437	2338	21.9429	9.67145
mat_gene_33	1862	1763	126.196	73.7628
mat_gene_34	4116	4017	192.025	49.2604
mat_gene_35	3423	3324	35.3077	10.9459
mat_gene_36	2723	2624	0	0
mat_gene_37	3653	3554	47.3019	13.7153
mat_gene_38	1249	1150	116.299	104.213
mat_gene_39	1451	1352	9.92308	7.56332
mat_gene_40	1734	1635	17	10.7146
mat_gene_41	1411	1312	16.5301	12.9833
mat_gene_42	3224	3125	937.588	309.176
mat_gene_43	869	770	17	22.751
mat_gene_44	2662	2563	0	0
mat_gene_45	3225	3126	0	0
mat_gene_46	836	737	14.2222	19.8858
mat_gene_47	1102	1003	177.91	182.786
mat_gene_48	1183	1084	17.8276	16.9475
mat_gene_49	1636	1537	20.469	13.7235
mat_gene_50	1002	903	40.6557	46.3956
mat_gene_51	2488	2389	10	4.31347
mat_gene_52	1388	1289	0	0
mat_gene_53	447	348	58.625	173.599
mat_gene_54	1627	1528	184.403	124.362
mat_gene_55	2989	2890	18.7647	6.69094
mat_gene_56	2168	2069	0	0
mat_gene_57	819	720	57.6706	82.5401
mat_gene_58	1319	1220	100.486	84.8767
mat_gene_59	2513	2414	173.66	74.1321
mat_gene_60	1111	1012	0	0
mat_gene_61	2948	2849	187.35	67.7647
mat_gene_62	2329	2230	0	0
mat_gene_63	1964	1865	68.8596	38.0478
mat_gene_64	3263	3164	88.4776	28.8164
mat_gene_65	813	714	88.6429	127.935
mat_gene_66	2196	2097	81.2812	39.9425
mat_gene_67	1823	1724	317.027	189.497
mat_gene_68	2969	2870	40.6304	14.5886
mat_gene_69	1912	1813	10.1333	5.75967
mat_gene_70	2212	2113	9.05882	4.41789
mat_gene_71	2834	2735	16.4706	6.20576
mat_gene_72	2713	2614	27	10.6439
mat_gene_73	3210	3111	126.351	41.8526
mat_gene_74	1925	1826	134	75.6218
mat_gene_75	1233	1134	0	0
mat_gene_76	1497	1398	11.3478	8.36467
mat_gene_77	2026	1927	80.527	43.0629
mat_gene_78	1806	1707	6.75	4.07487
mat_gene_79	4136	4037	180.729	46.133
mat_gene_80	1251	1152	318.817	285.188
mat_gene_81	4685	4586	137.348	30.8625
mat_gene_82	1104	1005	228.74	234.541
mat_gene_83	3581	3482	0	0
mat_gene_84	2593	2494	11.25	4.64835
mat_gene_85	590	491	0	0
mat_gene_86	651	552	0	0
mat_gene_87	1526	1427	54.3413	39.2418
mat_gene_88	2597	2498	0	0
mat_gene_89	1597	1498	198.333	136.435
mat_gene_90	2513	2414	138.111	58.9569
mat_gene_91	1425	1326	18	13.9885
mat_gene_92	2125	2026	21	10.6813
mat_gene_93	1732	1633	312.395	197.134
mat_gene_94	1707	1608	282.67	181.15
mat_gene_95	782	683	53.82	81.2019
mat_gene_96	2336	2237	18.4	8.47608
mat_gene_97	2682	2583	53.5	21.3438
mat_gene_98	1801	1702	17.686	10.7081
mat_gene_99	1438	1339	2	1.53919
