target_id	length	eff_length	est_counts	tpm
mat_gene_0	1773	1674	5.66667	3.47458
mat_gene_1	650	551	9.45455	17.6124
mat_gene_2	1566	1467	8.18182	5.72465
mat_gene_3	384	285	29.1628	105.03
mat_gene_4	1910	1811	28.5	16.1531
mat_gene_5	1499	1400	59	43.2567
mat_gene_6	3203	3104	76.5607	25.3171
mat_gene_7	1546	1447	53.4783	37.9348
mat_gene_8	838	739	4.8	6.66694
mat_gene_9	1073	974	5	5.26915
mat_gene_10	1625	1526	18.5806	12.4979
mat_gene_11	3232	3133	160.684	52.6432
mat_gene_12	2011	1912	23.1579	12.432
mat_gene_13	3293	3194	19.8095	6.36603
mat_gene_14	1430	1331	0	0
mat_gene_15	1525	1426	65.0667	46.8348
mat_gene_16	1410	1311	36.8421	28.8451
mat_gene_17	691	592	4	6.93534
mat_gene_18	1764	1665	167.133	103.033
mat_gene_19	1268	1169	58.3556	51.2386
mat_gene_20	828	729	17.5385	24.6941
mat_gene_21	1267	1168	0	0
mat_gene_22	800	701	34.8679	51.0549
mat_gene_23	1541	1442	26.6538	18.9725
mat_gene_24	2362	2263	72.3477	32.8148
mat_gene_25	1777	1678	32.5217	19.8935
mat_gene_26	1929	1830	56	31.4099
mat_gene_27	815	716	17.0323	24.4168
mat_gene_28	2955	2856	97.1765	34.9247
mat_gene_29	829	730	12.6316	17.7609
mat_gene_30	924	825	0	0
mat_gene_31	1274	1175	154.306	134.795
mat_gene_32	3745	3646	241.936	68.1104
mat_gene_33	2989	2890	163.435	58.0465
mat_gene_34	2347	2248	113.663	51.8984
mat_gene_35	3700	3601	0	0
mat_gene_36	1397	1298	29.2941	23.1652
mat_gene_37	2068	1969	194.922	101.612
mat_gene_38	2043	1944	46.5	24.552
mat_gene_39	1616	1517	131.65	89.0772
mat_gene_40	1604	1505	46.2857	31.5675
mat_gene_41	976	877	59.1652	69.2463
mat_gene_42	3243	3144	133.029	43.4302
mat_gene_43	3525	3426	542.928	162.661
mat_gene_44	2349	2250	12.2667	5.59595
mat_gene_45	2189	2090	41.1273	20.1982
mat_gene_46	944	845	14	17.0059
mat_gene_47	1522	1423	42.6667	30.7761
mat_gene_48	1449	1350	0	0
mat_gene_49	3457	3358	161.966	49.5076
mat_gene_50	2262	2163	56.5	26.8115
mat_gene_51	1366	1267	134.247	108.757
mat_gene_52	1394	1295	22.2973	17.6731
mat_gene_53	2450	2351	19.122	8.34851
mat_gene_54	975	876	97.7143	114.494
mat_gene_55	2790	2691	33.8462	12.91
mat_gene_56	3987	3888	278.434	73.5064
mat_gene_57	2654	2555	32.4839	13.0499
