target_id	length	eff_length	est_counts	tpm
mat_gene_0	838	739	10	14.3313
mat_gene_1	1144	1045	34	34.4581
mat_gene_2	2104	2005	121.435	64.1443
mat_gene_3	739	640	5.6	9.26696
mat_gene_4	1154	1055	116.563	117.014
mat_gene_5	653	554	13	24.8521
mat_gene_6	928	829	8.84615	11.3013
mat_gene_7	2466	2367	9.33333	4.17607
mat_gene_8	2521	2422	50.7273	22.1818
mat_gene_9	3634	3535	109	32.6563
mat_gene_10	1406	1307	23.4839	19.0293
mat_gene_11	956	857	0	0
mat_gene_12	1942	1843	75.6	43.4436
mat_gene_13	2276	2177	9	4.37838
mat_gene_14	3427	3328	89.6595	28.5326
mat_gene_15	3715	3616	268.897	78.7564
mat_gene_16	761	662	56.1739	89.8682
mat_gene_17	2530	2431	1000.7	435.96
mat_gene_18	3369	3270	111.581	36.1386
mat_gene_19	3673	3574	97.5	28.8921
mat_gene_20	2263	2164	108.738	53.2176
mat_gene_21	868	769	20.6957	28.5024
mat_gene_22	1326	1227	7.09091	6.1205
mat_gene_23	2046	1947	98.3762	53.5123
mat_gene_24	2846	2747	230.625	88.9154
mat_gene_25	699	600	0	0
mat_gene_26	4955	4856	28.2121	6.15299
mat_gene_27	2314	2215	226.496	108.297
mat_gene_28	1363	1264	55.7976	46.7518
mat_gene_29	1041	942	61.4464	69.0836
mat_gene_30	4361	4262	113.037	28.089
mat_gene_31	3677	3578	51.2553	15.1715
mat_gene_32	2800	2701	119.791	46.971
mat_gene_33	2910	2811	325.789	122.745
mat_gene_34	912	813	81.1087	105.659
mat_gene_35	2133	2034	106.567	55.4883
mat_gene_36	2149	2050	0	0
mat_gene_37	663	564	8.66667	16.2743
mat_gene_38	4228	4129	22.9091	5.87614
mat_gene_39	3285	3186	160.435	53.3313
mat_gene_40	2905	2806	33.35	12.5874
mat_gene_41	363	264	11	44.1284
mat_gene_42	1544	1445	34.5	25.286
mat_gene_43	2114	2015	128.084	67.3209
mat_gene_44	4775	4676	225.723	51.1247
mat_gene_45	1374	1275	50.0328	41.5598
mat_gene_46	2438	2339	73.2203	33.1536
mat_gene_47	1334	1235	60.2264	51.6475
mat_gene_48	3554	3455	0	0
mat_gene_49	2699	2600	88.6792	36.1225
mat_gene_50	2305	2206	207	99.3789
mat_gene_51	1812	1713	323.963	200.294
mat_gene_52	1518	1419	272.099	203.083
mat_gene_53	2762	2663	52.1053	20.7224
mat_gene_54	3191	3092	43.3052	14.833
mat_gene_55	2159	2060	61.1429	31.4346
mat_gene_56	2910	2811	117.966	44.4453
mat_gene_57	1349	1250	78.9333	66.8775
mat_gene_58	2250	2151	5	2.46183
mat_gene_59	1189	1090	87.7215	85.2332
mat_gene_60	4367	4268	66.3506	16.4646
mat_gene_61	1008	909	88.4497	103.053
mat_gene_62	2334	2235	40.2537	19.0747
mat_gene_63	1619	1520	6.4	4.45929
