target_id	length	eff_length	est_counts	tpm
mat_gene_0	2009	1910	48	26.3038
mat_gene_1	1761	1662	80.0345	50.4031
mat_gene_2	2993	2894	238.869	86.3919
mat_gene_3	2812	2713	123.488	47.6416
mat_gene_4	2105	2006	0	0
mat_gene_5	1709	1610	44.1493	28.7018
mat_gene_6	2268	2169	5.5	2.65408
mat_gene_7	1294	1195	15.5455	13.6159
mat_gene_8	739	640	5.8	9.48548
mat_gene_9	2016	1917	1.66667	0.909993
mat_gene_10	1787	1688	64.3733	39.9158
mat_gene_11	2036	1937	8.33333	4.50299
mat_gene_12	1469	1370	58.0349	44.3384
mat_gene_13	1927	1828	369.368	211.492
mat_gene_14	1594	1495	42.4259	29.7031
mat_gene_15	1143	1044	75.3012	75.4941
mat_gene_16	2550	2451	176.914	75.5492
mat_gene_17	1903	1804	188.613	109.433
mat_gene_18	1355	1256	19.6364	16.3638
mat_gene_19	2772	2673	105.307	41.2354
mat_gene_20	2454	2355	63.4898	28.2179
mat_gene_21	2156	2057	130.843	66.5775
mat_gene_22	2938	2839	0	0
mat_gene_23	759	660	18.9474	30.0481
mat_gene_24	501	402	39.2308	102.144
mat_gene_25	1503	1404	14.1176	10.5246
mat_gene_26	5464	5365	35.5263	6.93094
mat_gene_27	1226	1127	62.4643	58.0122
mat_gene_28	1738	1639	220.046	140.523
mat_gene_29	658	559	1.5	2.80861
mat_gene_30	2684	2585	102.504	41.504
mat_gene_31	1339	1240	0	0
mat_gene_32	2160	2061	195	99.0303
mat_gene_33	1698	1599	0	0
mat_gene_34	1873	1774	132.741	78.3181
mat_gene_35	1698	1599	0	0
mat_gene_36	1972	1873	62	34.647
mat_gene_37	1176	1077	7.33333	7.12684
mat_gene_38	814	715	64.6667	94.6642
mat_gene_39	1760	1661	154.282	97.2205
mat_gene_40	1288	1189	62.6939	55.1893
mat_gene_41	1605	1506	8.88889	6.1778
mat_gene_42	1875	1776	30.8824	18.2003
mat_gene_43	891	792	6.375	8.42493
mat_gene_44	3990	3891	38.6992	10.41
mat_gene_45	2049	1950	24.0303	12.8984
mat_gene_46	1674	1575	0	0
mat_gene_47	1027	928	10.25	11.5608
mat_gene_48	989	890	12.6875	14.921
mat_gene_49	4867	4768	102.817	22.5704
mat_gene_50	1414	1315	74.2021	59.0612
mat_gene_51	2544	2445	15.9091	6.81048
mat_gene_52	2233	2134	403.104	197.712
mat_gene_53	1200	1101	43.5556	41.4064
mat_gene_54	1144	1045	79.46	79.5873
mat_gene_55	709	610	165.598	284.143
mat_gene_56	1350	1251	35.4706	29.6772
mat_gene_57	1843	1744	31.0909	18.6594
mat_gene_58	1888	1789	0	0
mat_gene_59	1395	1296	22.6207	18.2689
mat_gene_60	1728	1629	97.5769	62.6957
mat_gene_61	5998	5899	201.853	35.8152
mat_gene_62	1417	1318	156.748	124.479
mat_gene_63	1300	1201	87.566	76.314
mat_gene_64	610	511	0	0
mat_gene_65	2743	2644	0	0
mat_gene_66	1567	1468	0	0
mat_gene_67	1619	1520	16.64	11.4583
